#      Train        Test
   0.0988075        0.125 
    0.175468     0.166667 
    0.180579     0.173611 
    0.206133     0.243056 
    0.221465     0.319444 
    0.279387     0.354167 
    0.287905        0.375 
     0.30494     0.402778 
    0.340716       0.4375 
    0.335605       0.4375 
    0.325383     0.465278 
     0.34753     0.333333 
    0.362862     0.423611 
    0.369676     0.486111 
    0.405451     0.555556 
    0.388416     0.388889 
     0.41908     0.548611 
    0.456559     0.576389 
    0.437819     0.597222 
    0.487223     0.534722 
    0.471891     0.597222 
    0.511073     0.604167 
    0.504259     0.604167 
     0.51448       0.6875 
    0.524702     0.458333 
    0.516184     0.597222 
    0.519591        0.625 
    0.563884     0.590278 
    0.584327     0.708333 
     0.58092        0.625 
    0.563884     0.590278 
    0.611584     0.729167 
    0.591141     0.729167 
    0.591141       0.6875 
    0.616695     0.680556 
    0.611584     0.729167 
    0.603066     0.736111 
    0.597956     0.666667 
     0.60477     0.659722 
    0.606474     0.715278 
    0.621806     0.715278 
    0.620102     0.694444 
     0.58092     0.722222 
    0.633731     0.715278 
    0.626917     0.708333 
    0.633731     0.777778 
    0.645656     0.743056 
    0.609881     0.743056 
    0.611584     0.729167 
    0.645656     0.743056 
    0.660988         0.75 
    0.626917     0.701389 
    0.621806         0.75 
    0.660988         0.75 
    0.637138     0.673611 
    0.666099     0.729167 
    0.664395     0.701389 
    0.626917     0.729167 
    0.655877     0.701389 
    0.620102     0.763889 
    0.669506         0.75 
    0.643952     0.756944 
    0.666099     0.743056 
     0.67632       0.8125 
    0.640545     0.736111 
    0.657581     0.784722 
    0.667802     0.701389 
    0.657581     0.770833 
    0.647359     0.777778 
    0.654174     0.763889 
    0.669506     0.770833 
    0.666099         0.75 
    0.655877     0.763889 
    0.650767     0.708333 
    0.688245     0.743056 
    0.655877     0.805556 
    0.686542         0.75 
    0.686542     0.770833 
    0.669506     0.715278 
    0.684838     0.763889 
    0.650767     0.826389 
     0.67121       0.8125 
    0.655877     0.756944 
     0.67121     0.756944 
    0.657581     0.756944 
    0.701874     0.784722 
    0.698467         0.75 
    0.650767     0.805556 
     0.67632     0.736111 
    0.669506     0.763889 
    0.681431         0.75 
    0.708688     0.805556 
    0.662692     0.819444 
    0.683135       0.8125 
    0.684838       0.8125 
    0.689949     0.798611 
    0.701874     0.819444 
     0.70017     0.833333 
    0.669506     0.770833 
    0.681431     0.798611 
    0.688245     0.791667 
    0.688245     0.729167 
    0.683135     0.736111 
    0.701874     0.763889 
    0.683135     0.770833 
    0.684838     0.819444 
    0.688245     0.791667 
    0.684838     0.763889 
    0.710392     0.791667 
    0.683135     0.770833 
    0.715503     0.791667 
    0.664395     0.784722 
    0.698467       0.8125 
     0.67632     0.791667 
     0.67632       0.8125 
    0.684838     0.833333 
     0.70017     0.840278 
    0.705281     0.854167 
    0.710392     0.805556 
    0.715503     0.840278 
    0.717206     0.819444 
    0.715503     0.819444 
    0.693356     0.840278 
    0.693356     0.805556 
     0.69506     0.819444 
    0.691652     0.861111 
     0.71891     0.763889 
    0.703578         0.75 
    0.679727     0.840278 
    0.705281     0.805556 
    0.698467     0.736111 
     0.67121     0.819444 
    0.696763         0.75 
    0.727428     0.743056 
    0.683135     0.694444 
    0.729131     0.798611 
    0.722317     0.736111 
    0.717206     0.763889 
