#      Train        Test
     19.6841      18.2509 
     18.1339      16.0331 
     17.2171      15.7216 
     16.9984      15.1019 
     16.7991      14.7336 
     16.1542      14.2797 
     15.8052      13.6077 
     15.2741      12.8719 
     14.2005      11.7097 
     13.5008      10.7161 
     12.6881      10.0965 
     12.2221      9.88808 
     11.0404      8.81188 
     10.5406      8.28528 
     10.0347      7.99412 
      9.6897      7.97109 
     9.52819      7.60471 
      9.0765      6.95551 
     9.40138      7.34886 
     8.96108      7.82205 
     8.90808      6.97761 
     8.71056       7.0304 
     8.47508       7.3935 
     8.61756      6.25362 
     8.45461      7.29675 
     8.46859      7.04863 
     8.34296       7.2369 
     8.24634      6.68444 
     7.98234      6.39376 
     8.10162      6.92328 
     7.94242      7.26676 
     7.68676      5.99904 
     7.68786      6.06938 
     7.75755      6.58067 
     7.34038       6.1553 
     7.56868      6.15285 
     7.52782      6.00786 
     7.36013      6.28649 
     7.46168      6.55318 
     7.10132      6.06521 
     7.32436      6.01723 
     7.31021      6.26251 
      7.4694      5.80271 
     7.10321      6.06604 
     6.97023      6.09409 
     7.11182      5.50387 
     7.04946      5.94125 
     7.13272      5.72789 
     7.13954      5.77929 
     6.92164      5.55482 
     6.84842      5.29587 
     6.88344      5.84996 
     6.94919      5.70648 
     6.66188      5.44317 
      6.7477      6.24418 
     6.86231      5.72014 
     6.78564      6.27285 
     7.06376      5.79033 
     6.84696      5.91754 
     6.89884      5.47025 
     6.58838      5.92498 
     6.68104      5.64347 
      6.6101      5.61503 
     6.43604      4.93617 
     6.75482      5.62627 
     6.19753      5.09685 
      6.4068      6.15934 
      6.5413      4.88759 
     6.66346      5.06169 
     6.63092      5.10611 
     6.73065      5.21991 
      6.2744      5.36053 
     6.47184      5.39754 
     6.66861        5.603 
     6.42093      5.04862 
     6.25135       5.2952 
     6.18393      5.22706 
     6.21432      5.30869 
     6.54762      5.47195 
     6.43462       5.3526 
     6.60779      4.83467 
     6.25458      4.95351 
     6.46963      5.43456 
     6.48912      5.05917 
     6.54331      5.49444 
     6.25459      5.03272 
     6.14657      5.51168 
     6.34884      4.82833 
     6.27231      5.42771 
     6.21432      4.89817 
     6.16781      4.98465 
     6.00884      4.95217 
     6.53617       4.7366 
       6.145      4.64179 
     6.03225      4.49521 
     6.17445      4.45795 
     6.00103      4.56601 
     6.07792      4.51548 
     6.33495      5.24243 
     6.39835      4.87748 
     6.09524      4.89884 
     5.95325      5.25142 
     6.22178      5.20973 
     6.18766      5.24498 
